amount,is_fraud,city,merchant_category,device_type,account_age_days,is_new_account,hour,hour_bucket,amount_tier
149.62,0.0,Mumbai,Groceries,Android,14,1,0,Late Night (11PM–6AM),Micro (< ₹500)
2.69,0.0,Kolkata,Shopping,Android,1308,0,0,Late Night (11PM–6AM),Micro (< ₹500)
378.66,0.0,Chennai,Healthcare,Web,1448,0,0,Late Night (11PM–6AM),Micro (< ₹500)
123.5,0.0,Delhi,Shopping,Android,1179,0,0,Late Night (11PM–6AM),Micro (< ₹500)
69.99,0.0,Bangalore,Food & Dining,Web,1404,0,0,Late Night (11PM–6AM),Micro (< ₹500)
3.67,0.0,Bangalore,Shopping,iOS,1295,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.99,0.0,Bangalore,Utilities,iOS,701,0,0,Late Night (11PM–6AM),Micro (< ₹500)
40.8,0.0,Pune,Travel,Android,757,0,0,Late Night (11PM–6AM),Micro (< ₹500)
93.2,0.0,Hyderabad,Food & Dining,Android,1497,0,0,Late Night (11PM–6AM),Micro (< ₹500)
3.68,0.0,Hyderabad,Shopping,Android,446,0,0,Late Night (11PM–6AM),Micro (< ₹500)
7.8,0.0,Bangalore,Food & Dining,Android,1650,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.99,0.0,Jaipur,Food & Dining,Android,1790,0,0,Late Night (11PM–6AM),Micro (< ₹500)
121.5,0.0,Pune,Travel,Android,129,0,0,Late Night (11PM–6AM),Micro (< ₹500)
27.5,0.0,Bangalore,Utilities,Android,1015,0,0,Late Night (11PM–6AM),Micro (< ₹500)
58.8,0.0,Bangalore,Healthcare,Android,234,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.99,0.0,Bangalore,Utilities,Android,1156,0,0,Late Night (11PM–6AM),Micro (< ₹500)
12.99,0.0,Mumbai,Entertainment,iOS,935,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.89,0.0,Delhi,Utilities,iOS,1563,0,0,Late Night (11PM–6AM),Micro (< ₹500)
46.8,0.0,Delhi,Groceries,Web,159,0,0,Late Night (11PM–6AM),Micro (< ₹500)
5.0,0.0,Mumbai,Shopping,Android,563,0,0,Late Night (11PM–6AM),Micro (< ₹500)
231.71,0.0,Hyderabad,Groceries,iOS,107,0,0,Late Night (11PM–6AM),Micro (< ₹500)
34.09,0.0,Bangalore,Entertainment,Android,980,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.28,0.0,Mumbai,Entertainment,Android,703,0,0,Late Night (11PM–6AM),Micro (< ₹500)
22.75,0.0,Mumbai,Entertainment,Android,1112,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.89,0.0,Delhi,Entertainment,iOS,465,0,0,Late Night (11PM–6AM),Micro (< ₹500)
26.43,0.0,Chennai,Utilities,Android,158,0,0,Late Night (11PM–6AM),Micro (< ₹500)
41.88,0.0,Bangalore,Education,Android,1383,0,0,Late Night (11PM–6AM),Micro (< ₹500)
16.0,0.0,Delhi,Entertainment,Android,1415,0,0,Late Night (11PM–6AM),Micro (< ₹500)
33.0,0.0,Delhi,Shopping,Android,694,0,0,Late Night (11PM–6AM),Micro (< ₹500)
12.99,0.0,Bangalore,Shopping,Android,1787,0,0,Late Night (11PM–6AM),Micro (< ₹500)
17.28,0.0,Hyderabad,Food & Dining,Android,315,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.45,0.0,Bangalore,Education,iOS,106,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.14,0.0,Bangalore,Education,Android,964,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.14,0.0,Kolkata,Groceries,iOS,1480,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.77,0.0,Jaipur,Shopping,Android,66,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.77,0.0,Chennai,Healthcare,Android,362,0,0,Late Night (11PM–6AM),Micro (< ₹500)
30.49,0.0,Mumbai,Food & Dining,iOS,1437,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.8,0.0,Bangalore,Groceries,iOS,571,0,0,Late Night (11PM–6AM),Micro (< ₹500)
20.53,0.0,Hyderabad,Shopping,Android,162,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.54,0.0,Delhi,Entertainment,Android,1461,0,0,Late Night (11PM–6AM),Micro (< ₹500)
29.89,0.0,Bangalore,Travel,Web,81,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.35,0.0,Delhi,Groceries,iOS,168,0,0,Late Night (11PM–6AM),Micro (< ₹500)
14.8,0.0,Bangalore,Entertainment,Android,1210,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.1,0.0,Pune,Utilities,Web,1620,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.99,0.0,Mumbai,Food & Dining,Android,669,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.34,0.0,Hyderabad,Travel,Android,1280,0,0,Late Night (11PM–6AM),Micro (< ₹500)
18.95,0.0,Mumbai,Education,Web,896,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.99,0.0,Delhi,Groceries,Android,468,0,0,Late Night (11PM–6AM),Micro (< ₹500)
30.9,0.0,Delhi,Shopping,Android,373,0,0,Late Night (11PM–6AM),Micro (< ₹500)
20.22,0.0,Bangalore,Entertainment,Android,198,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.99,0.0,Jaipur,Education,Android,1286,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1402.95,0.0,Chennai,Food & Dining,Android,878,0,0,Late Night (11PM–6AM),Small (₹500–5K)
7.99,0.0,Kolkata,Food & Dining,Android,519,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.09,0.0,Pune,Education,Android,1126,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.99,0.0,Delhi,Groceries,Android,1094,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.76,0.0,Kolkata,Shopping,Android,866,0,0,Late Night (11PM–6AM),Micro (< ₹500)
120.96,0.0,Bangalore,Food & Dining,iOS,897,0,0,Late Night (11PM–6AM),Micro (< ₹500)
13.84,0.0,Bangalore,Groceries,iOS,478,0,0,Late Night (11PM–6AM),Micro (< ₹500)
13.84,0.0,Bangalore,Shopping,iOS,22,1,0,Late Night (11PM–6AM),Micro (< ₹500)
2.67,0.0,Mumbai,Education,Android,1776,0,0,Late Night (11PM–6AM),Micro (< ₹500)
169.05,0.0,Mumbai,Groceries,Android,721,0,0,Late Night (11PM–6AM),Micro (< ₹500)
96.94,0.0,Mumbai,Shopping,iOS,1322,0,0,Late Night (11PM–6AM),Micro (< ₹500)
34.13,0.0,Chennai,Entertainment,Android,1620,0,0,Late Night (11PM–6AM),Micro (< ₹500)
32.51,0.0,Mumbai,Food & Dining,Android,544,0,0,Late Night (11PM–6AM),Micro (< ₹500)
243.66,0.0,Mumbai,Education,Android,1312,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.55,0.0,Delhi,Utilities,Android,262,0,0,Late Night (11PM–6AM),Micro (< ₹500)
59.9,0.0,Bangalore,Utilities,Android,1670,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.75,0.0,Chennai,Entertainment,Android,1480,0,0,Late Night (11PM–6AM),Micro (< ₹500)
45.71,0.0,Bangalore,Education,Android,1644,0,0,Late Night (11PM–6AM),Micro (< ₹500)
35.0,0.0,Jaipur,Entertainment,Android,395,0,0,Late Night (11PM–6AM),Micro (< ₹500)
67.97,0.0,Chennai,Shopping,Web,1693,0,0,Late Night (11PM–6AM),Micro (< ₹500)
11.45,0.0,Bangalore,Education,Web,1409,0,0,Late Night (11PM–6AM),Micro (< ₹500)
3.63,0.0,Bangalore,Utilities,Android,347,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.66,0.0,Chennai,Food & Dining,Web,968,0,0,Late Night (11PM–6AM),Micro (< ₹500)
26.72,0.0,Hyderabad,Utilities,iOS,1357,0,0,Late Night (11PM–6AM),Micro (< ₹500)
13.18,0.0,Hyderabad,Groceries,Android,677,0,0,Late Night (11PM–6AM),Micro (< ₹500)
59.99,0.0,Chennai,Entertainment,Android,1189,0,0,Late Night (11PM–6AM),Micro (< ₹500)
135.51,0.0,Bangalore,Entertainment,Android,1139,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.79,0.0,Mumbai,Education,iOS,746,0,0,Late Night (11PM–6AM),Micro (< ₹500)
14.8,0.0,Bangalore,Education,Android,349,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.98,0.0,Pune,Education,iOS,425,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.67,0.0,Hyderabad,Education,Android,616,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.46,0.0,Mumbai,Shopping,Android,608,0,0,Late Night (11PM–6AM),Micro (< ₹500)
